,ID,Category,FilePath,FileSize,AnnotationFileExists,InputType1,InputType2,OutputType1,OutputType2
445,4532,EVENTS,CodEAlltag_pXL_EVENTS/6-/62230.txt,176,True,"Ich O
auch O
. O
Wie O
gut O
das O
die O
nicht O
wissen O
, O
das O
ich O
der O
Haupttäter O
und O
Drahtzieher O
bin O
. O
Hier O
meine O
Adresse O
: O
Niklaus B-MALE
Dünnebacke B-FAMILY
Löscherstraße B-STREET
1 B-STREETNO
25985 B-ZIP
Ibersheim B-CITY
-- O
THE O
T O
☢ O
☢ O
N O
","Ich auch . Wie gut das die nicht wissen , das ich der Haupttäter und Drahtzieher bin . Hier meine Adresse : Niklaus Dünnebacke Löscherstraße 1 25985 Ibersheim -- THE T ☢ ☢ N",MALE: Niklaus; FAMILY: Dünnebacke; STREET: Löscherstraße; STREETNO: 1; ZIP: 25985; CITY: Ibersheim,MALE: Niklaus **Ignaz**; FAMILY: Dünnebacke **Pötter**; STREET: Löscherstraße **Vogtstraße**; STREETNO: 1 **0**; ZIP: 25985 **83984**; CITY: Ibersheim **Bollendorf**
1173,11892,EVENTS,CodEAlltag_pXL_EVENTS/7-/79412.txt,517,True,"Und O
nun O
, O
Herr O
Staatsanwalt O
? O
Gruß O
Klaas B-MALE
Uesbeck B-FAMILY
66484 B-ZIP
Allmethofen B-CITY
-- O
"" O
Während O
Schüler O
, O
die O
mit O
anderen O
Schülern O
Musikstücke O
tauschen O
, O
von O
Justiz O
und O
Polizei O
gejagt O
werden O
, O
genießen O
die O
herrschenden O
Massenmörder O
eine O
Kultur O
absoluter O
Straflosigkeit O
, O
und O
seien O
sie O
auch O
noch O
so O
oft O
als O
zynische O
Lügner O
überführt O
. O
Und O
obendrein O
mat O
sich O
diese O
massenmörderische O
Kultur O
der O
Lügen O
auch O
noch O
an O
, O
sich O
freiheitlicher O
Rechtsstaat O
zu O
nennen O
. O
"" O
http://gun.ozkc-hmnbtasflw.gtl/nqxw/8688/46/27/kr-jeta-ke-hjav-vwjdco/ B-URL
","Und nun , Herr Staatsanwalt ? Gruß Klaas Uesbeck 66484 Allmethofen -- "" Während Schüler , die mit anderen Schülern Musikstücke tauschen , von Justiz und Polizei gejagt werden , genießen die herrschenden Massenmörder eine Kultur absoluter Straflosigkeit , und seien sie auch noch so oft als zynische Lügner überführt . Und obendrein mat sich diese massenmörderische Kultur der Lügen auch noch an , sich freiheitlicher Rechtsstaat zu nennen . "" http://gun.ozkc-hmnbtasflw.gtl/nqxw/8688/46/27/kr-jeta-ke-hjav-vwjdco/",MALE: Klaas; FAMILY: Uesbeck; ZIP: 66484; CITY: Allmethofen; URL: http://gun.ozkc-hmnbtasflw.gtl/nqxw/8688/46/27/kr-jeta-ke-hjav-vwjdco/,MALE: Klaas **Roman**; FAMILY: Uesbeck **Stulz**; ZIP: 66484 **84777**; CITY: Allmethofen **Puttball**; URL: http://gun.ozkc-hmnbtasflw.gtl/nqxw/8688/46/27/kr-jeta-ke-hjav-vwjdco/ **http://psc.hqxo-viiyqsxffr.bld/jbrj/6589/24/40/of-udon-ot-wfpw-ydtbhr/**
1497,14348,EVENTS,CodEAlltag_pXL_EVENTS/7-/72482.txt,392,True,"Neues O
aus O
der O
Anstalt O
. O
Der O
Anstaltgelehrte O
Bodo B-MALE
Jürges B-FAMILY
- O
heute O
wieder O
lustig O
als O
* O
Luciano B-MALE
Jürges B-FAMILY
* O
verkleidet O
- O
lädt O
zum O
Erdbeerenplausch O
auf O
der O
Terrasse O
ein O
. O
Dazu O
werden O
ihm O
die O
Maulfesseln O
abgenommen O
- O
freie O
Rede O
in O
der O
Vakuumsäule O
! O
Seine O
anderen O
Pseudos O
sind O
auch O
dabei O
: O
Ghqmu B-USER
-Finder O
Erdbeben-Mann O
Vakuum-Forscher O
. O
. O
. O
Und O
es O
gibt O
freie O
Radikale O
aus O
dem O
Superpotenzial O
. O
Olaf B-MALE
Naas B-FAMILY
",Neues aus der Anstalt . Der Anstaltgelehrte Bodo Jürges - heute wieder lustig als * Luciano Jürges * verkleidet - lädt zum Erdbeerenplausch auf der Terrasse ein . Dazu werden ihm die Maulfesseln abgenommen - freie Rede in der Vakuumsäule ! Seine anderen Pseudos sind auch dabei : Ghqmu-Finder Erdbeben-Mann Vakuum-Forscher . . . Und es gibt freie Radikale aus dem Superpotenzial . Olaf Naas,MALE: Bodo; FAMILY: Jürges; MALE: Luciano; FAMILY: Jürges; USER: Ghqmu; MALE: Olaf; FAMILY: Naas,MALE: Bodo **Paolo**; FAMILY: Jürges **Lindenberger**; MALE: Luciano **Uwe**; FAMILY: Jürges **Lindenberger**; USER: Ghqmu **Qdpkn-Wqiqic**; MALE: Olaf **Daniel**; FAMILY: Naas **Dornseiff**
1566,14853,EVENTS,CodEAlltag_pXL_EVENTS/7-/77086.txt,488,True,"GARRELT B-MALE
, O
ich O
rate O
dir O
jetzt O
noch O
mal O
ganz O
dringend O
, O
diese O
blöden O
Unterstellungen O
mit O
dem O
Kinderporno O
besser O
zu O
unterlassen O
, O
sonst O
bleibt O
mir O
wirklich O
nichts O
anderes O
mehr O
über O
, O
als O
meinen O
Rechtsanwalt O
zu O
konsultieren O
. O
Irgendwo O
hört O
mal O
jeder O
Spaß O
auf O
und O
der O
Ernst O
beginnt O
. O
Ach O
weit O
Du O
was O
? O
- O
ich O
versuche O
dich O
zuerst O
nur O
wieder O
zu O
plonken O
: O
* O
PLONK O
* O
Was O
ich O
nicht O
weiß O
, O
macht O
mich O
nämlich O
nicht O
hei O
. O
h. B-MALE
-- O
Hendrik B-MALE
Völz B-FAMILY
Herbert-Hollerweg B-STREET
27 B-STREETNO
74403 B-ZIP
Prölsdorf B-CITY
Tel. O
592 B-PHONE
- I-PHONE
3447349 I-PHONE
","GARRELT , ich rate dir jetzt noch mal ganz dringend , diese blöden Unterstellungen mit dem Kinderporno besser zu unterlassen , sonst bleibt mir wirklich nichts anderes mehr über , als meinen Rechtsanwalt zu konsultieren . Irgendwo hört mal jeder Spaß auf und der Ernst beginnt . Ach weit Du was ? - ich versuche dich zuerst nur wieder zu plonken : * PLONK * Was ich nicht weiß , macht mich nämlich nicht hei . h. -- Hendrik Völz Herbert-Hollerweg 27 74403 Prölsdorf Tel. 592 - 3447349",MALE: GARRELT; MALE: h.; MALE: Hendrik; FAMILY: Völz; STREET: Herbert-Hollerweg; STREETNO: 27; ZIP: 74403; CITY: Prölsdorf; PHONE: 592-3447349,MALE: GARRELT **Otto**; MALE: h. **a.**; MALE: Hendrik **Alfred**; FAMILY: Völz **Kröcher**; STREET: Herbert-Hollerweg **Ophoffstraße**; STREETNO: 27 **58**; ZIP: 74403 **56152**; CITY: Prölsdorf **Volkmarst**; PHONE: 592-3447349 **539-2700179**
1680,15852,EVENTS,CodEAlltag_pXL_EVENTS/7-/72479.txt,406,True,"Neues O
aus O
der O
Anstalt O
. O
Der O
Anstaltgelehrte O
Oliver B-MALE
Intlekofer B-FAMILY
- O
heute O
wieder O
lustig O
als O
* O
Burkhard B-MALE
Intlekofer B-FAMILY
* O
verkleidet O
- O
lädt O
zum O
Erdbeerenplausch O
auf O
der O
Terrasse O
ein O
. O
Dazu O
werden O
ihm O
die O
Maulfesseln O
abgenommen O
- O
freie O
Rede O
in O
der O
Vakuumsäule O
! O
Seine O
anderen O
Pseudos O
sind O
auch O
dabei O
: O
Segye B-USER
-Finder O
Erdbeben-Mann O
Vakuum-Forscher O
. O
. O
. O
Und O
es O
gibt O
freie O
Radikale O
aus O
dem O
Superpotenzial O
. O
Ludger B-MALE
Diddens B-FAMILY
",Neues aus der Anstalt . Der Anstaltgelehrte Oliver Intlekofer - heute wieder lustig als * Burkhard Intlekofer * verkleidet - lädt zum Erdbeerenplausch auf der Terrasse ein . Dazu werden ihm die Maulfesseln abgenommen - freie Rede in der Vakuumsäule ! Seine anderen Pseudos sind auch dabei : Segye-Finder Erdbeben-Mann Vakuum-Forscher . . . Und es gibt freie Radikale aus dem Superpotenzial . Ludger Diddens,MALE: Oliver; FAMILY: Intlekofer; MALE: Burkhard; FAMILY: Intlekofer; USER: Segye; MALE: Ludger; FAMILY: Diddens,MALE: Oliver **Marko**; FAMILY: Intlekofer **Ossenbrüggen**; MALE: Burkhard **Patrick**; FAMILY: Intlekofer **Ossenbrüggen**; USER: Segye **Aqrnf-Rkksmt**; MALE: Ludger **Henri**; FAMILY: Diddens **Seithümmer**
2456,21891,EVENTS,CodEAlltag_pXL_EVENTS/7-/72192.txt,624,True,"Hallo O
liebe O
Freunde O
! O
Ich O
muss O
meine O
Hanfpflanzen O
verkaufen O
, O
da O
ich O
Ärger O
mit O
den O
Behörden O
= O
habe O
und O
bald O
in O
die O
Psychiatrie O
eingewiesen O
werde O
. O
Es O
handelt O
sich O
um O
10 O
Pflanzen O
, O
die O
ich O
mit O
viel O
Mühe O
bei O
mir O
im O
= O
Keller O
= O
20 O
gezüchtet O
habe O
. O
Größe O
ca. O
80 O
cm O
pro O
Pflanze O
. O
Preis O
pro O
Pflanze O
: O
50 O
Euro O
. O
Abzuholen O
direkt O
bei O
mir O
: O
Richard B-MALE
Oberschwendtner B-FAMILY
Waltherplatz B-STREET
8 B-STREETNO
- I-STREETNO
9. I-STREETNO
Stock O
17986 B-ZIP
Neuwartenburg B-CITY
Tel. O
0890/3790194 B-PHONE
Bitte O
eventuell O
länger O
klingeln O
, O
oder O
mehrfach O
anrufen O
. O
Dann O
bitte O
länger O
klineln O
lassen O
, O
da O
ich O
eventuell O
länger O
schlafe O
, O
= O
da O
= O
20 O
ich O
von O
dem O
vielen O
Wodka O
öfters O
müde O
bin O
! O
Michel B-MALE
= O
ThomasHanfzüchter O
","Hallo liebe Freunde ! Ich muss meine Hanfpflanzen verkaufen , da ich Ärger mit den Behörden = habe und bald in die Psychiatrie eingewiesen werde . Es handelt sich um 10 Pflanzen , die ich mit viel Mühe bei mir im = Keller = 20 gezüchtet habe . Größe ca. 80 cm pro Pflanze . Preis pro Pflanze : 50 Euro . Abzuholen direkt bei mir : Richard Oberschwendtner Waltherplatz 8 - 9. Stock 17986 Neuwartenburg Tel. 0890/3790194 Bitte eventuell länger klingeln , oder mehrfach anrufen . Dann bitte länger klineln lassen , da ich eventuell länger schlafe , = da = 20 ich von dem vielen Wodka öfters müde bin ! Michel = ThomasHanfzüchter",MALE: Richard; FAMILY: Oberschwendtner; STREET: Waltherplatz; STREETNO: 8 - 9.; ZIP: 17986; CITY: Neuwartenburg; PHONE: 0890/3790194; MALE: Michel,MALE: Richard **Marcel**; FAMILY: Oberschwendtner **Papenvot**; STREET: Waltherplatz **Welsbachstraße**; STREETNO: 8 - 9. **9 - 3**; ZIP: 17986 **00095**; CITY: Neuwartenburg **Unterleiten**; PHONE: 0890/3790194 **3021/3969557**; MALE: Michel **Niko**
2928,26123,EVENTS,CodEAlltag_pXL_EVENTS/5-/59947.txt,447,True,"Nachdem O
ja O
mein O
lieber O
Provider O
vor O
einigen O
Monaten O
seinen O
Newsgroups-Dienst O
eingestellt O
hat O
, O
bin O
ich O
nun O
endlich O
einmal O
dazu O
gekommen O
, O
mir O
wieder O
Zugang O
zum O
Usenet O
zu O
verschaffen O
. O
Bin O
schon O
mal O
gespannt O
, O
was O
sich O
hier O
in O
der O
Zwischenzeit O
geändert O
und O
nicht O
geändert O
hat O
... O
LOL O
oy B-USER
-- O
Ein O
gesparter O
Pfennig O
ist O
ein O
verdienter O
Pfennig O
- O
und O
zwar O
ein O
steuerfrei O
verdienter O
! O
http://opuzxqrdgugbrul-yuym.olbx-xlpg.ar/ B-URL
http://unphz.qfboyvbdn.rzg B-URL
","Nachdem ja mein lieber Provider vor einigen Monaten seinen Newsgroups-Dienst eingestellt hat , bin ich nun endlich einmal dazu gekommen , mir wieder Zugang zum Usenet zu verschaffen . Bin schon mal gespannt , was sich hier in der Zwischenzeit geändert und nicht geändert hat ... LOL oy -- Ein gesparter Pfennig ist ein verdienter Pfennig - und zwar ein steuerfrei verdienter ! http://opuzxqrdgugbrul-yuym.olbx-xlpg.ar/ http://unphz.qfboyvbdn.rzg",USER: oy; URL: http://opuzxqrdgugbrul-yuym.olbx-xlpg.ar/; URL: http://unphz.qfboyvbdn.rzg,USER: oy **ju**; URL: http://opuzxqrdgugbrul-yuym.olbx-xlpg.ar/ **http://yymttmkxyytdspl-srnf.fqqq-bjjc.fq/**; URL: http://unphz.qfboyvbdn.rzg **http://iidbd.cjqiryoge.axk**
3504,31556,EVENTS,CodEAlltag_pXL_EVENTS/5-/50947.txt,151,True,"Las O
mich O
raten O
, O
du O
meintest O
diesen O
erfolglosen O
Maler O
P. B-MALE
N. B-FAMILY
-- O
Robin O
Hood O
- O
Pleitier O
und O
Nazi O
Frerich B-MALE
Doetterl B-FAMILY
Clausstraße B-STREET
09 B-STREETNO
55567 B-ZIP
Altfürstenhütte B-CITY
","Las mich raten , du meintest diesen erfolglosen Maler P. N. -- Robin Hood - Pleitier und Nazi Frerich Doetterl Clausstraße 09 55567 Altfürstenhütte",MALE: P.; FAMILY: N.; MALE: Frerich; FAMILY: Doetterl; STREET: Clausstraße; STREETNO: 09; ZIP: 55567; CITY: Altfürstenhütte,MALE: P. **Christoph**; FAMILY: N. **Kleinebrink**; MALE: Frerich **Tino**; FAMILY: Doetterl **Wern**; STREET: Clausstraße **Jergiusweg**; STREETNO: 09 **35**; ZIP: 55567 **88007**; CITY: Altfürstenhütte **Voigtstedt**
3746,33657,EVENTS,CodEAlltag_pXL_EVENTS/1-/170-dir/170319.txt,517,True,"Die O
PIN O
? O
Da O
träumst O
Du O
aber O
! O
Dieser O
Schrotthaufen O
war O
doch O
schon O
drei O
Monate O
* O
vor O
* O
der O
Einführng O
des O
Mindestlohns O
pleite O
, O
ohne O
daß O
da O
jemals O
ein O
Linker O
die O
Hand O
angelegt O
hätte O
. O
Im O
Übrigen O
waren O
das O
sowieso O
Betrüger O
, O
die O
man O
hätte O
einsperren O
sollen O
. O
Ja O
, O
wer O
Ware O
einkauft O
und O
nicht O
bezalt O
, O
der O
ist O
doch O
ein O
Betrüger O
, O
oder O
!? O
Na O
also O
! O
Und O
das O
gilt O
ohne O
jeden O
Zweifel O
auch O
für O
die O
Ware O
Arbeit O
. O
Glückauf O
! O
Michèle B-FEMALE
Ableitner B-FAMILY
( O
QTH O
: O
AO08QD B-UFID
) O
-- O
Fährst O
Du O
Fahrrad O
? O
Mußt O
Du O
gucken O
: O
http://qph.lspld-sppgrv.wd B-URL
","Die PIN ? Da träumst Du aber ! Dieser Schrotthaufen war doch schon drei Monate * vor * der Einführng des Mindestlohns pleite , ohne daß da jemals ein Linker die Hand angelegt hätte . Im Übrigen waren das sowieso Betrüger , die man hätte einsperren sollen . Ja , wer Ware einkauft und nicht bezalt , der ist doch ein Betrüger , oder !? Na also ! Und das gilt ohne jeden Zweifel auch für die Ware Arbeit . Glückauf ! Michèle Ableitner ( QTH : AO08QD ) -- Fährst Du Fahrrad ? Mußt Du gucken : http://qph.lspld-sppgrv.wd",FEMALE: Michèle; FAMILY: Ableitner; UFID: AO08QD; URL: http://qph.lspld-sppgrv.wd,FEMALE: Michèle **Nicola**; FAMILY: Ableitner **Kattke**; UFID: AO08QD **NT56TX**; URL: http://qph.lspld-sppgrv.wd **http://ezd.thuoo-phnhlu.ww**
3752,33700,EVENTS,CodEAlltag_pXL_EVENTS/1-/170-dir/170907.txt,301,True,"Dann O
mach O
mal O
! O
Ich O
glaube O
eher O
, O
daß O
heute O
mit O
dem O
Koalitionsvertrag O
endgültig O
der O
Staatsbankrott O
beschlossen O
ward O
, O
und O
dafür O
zu O
drücken O
sind O
mir O
_ O
meine O
_ O
Daumen O
zu O
schade O
. O
Träum O
weiter O
! O
Glückauf O
! O
Karla B-FEMALE
Koel B-FAMILY
( O
QTH O
: O
FI23EH B-UFID
) O
-- O
Fährst O
Du O
Fahrrad O
? O
Mußt O
Du O
gucken O
: O
http://rbz.liirk-jjqhhg.zq B-URL
","Dann mach mal ! Ich glaube eher , daß heute mit dem Koalitionsvertrag endgültig der Staatsbankrott beschlossen ward , und dafür zu drücken sind mir _ meine _ Daumen zu schade . Träum weiter ! Glückauf ! Karla Koel ( QTH : FI23EH ) -- Fährst Du Fahrrad ? Mußt Du gucken : http://rbz.liirk-jjqhhg.zq",FEMALE: Karla; FAMILY: Koel; UFID: FI23EH; URL: http://rbz.liirk-jjqhhg.zq,FEMALE: Karla **Nadja**; FAMILY: Koel **Pettenkofer**; UFID: FI23EH **OP64UK**; URL: http://rbz.liirk-jjqhhg.zq **http://wmf.jrcbr-rovifr.pm**
